Age,YearsOfWorking,Gender,Residence,RecentJob.Position,RecentJob.Firm,RecentJob.StartDate,RecentJob.EndDate,Position,Industry,HistoryJob1.Position,HistoryJob1.Firm,HistoryJob1.StartDate,HistoryJob1.EndDate,HistoryJob2.Position,HistoryJob2.Firm,HistoryJob2.StartDate,HistoryJob2.EndDate,EducationBackground,Major,University,ExpectedSalary.LowerLimit,ExpectedSalary.UpperLimit,RecentJob.Months,HistoryJob1.Months,HistoryJob2.Months
29,7,男,上海-浦东新区,游戏主策划  ,  River Games  ,5/1/2016,,游戏策划师,网络游戏,系统/数值策划  ,  暖暖游戏   ,9/1/2014,5/1/2016,软件工程师  ,  超澜数码   ,9/1/2012,9/1/2013,硕士,计算机科学与技术,Galway Mayo Institute of Technology,15000,19999,,20,12
35,16,男,上海-徐汇区,部门主管  ,  HP  ,6/1/2016,,信息技术经理/主管,计算机软件,Separation Management Office Program Manager  ,  HP   ,3/1/2015,5/1/2016,EDGE Platform Program Manager  ,  HP   ,12/1/2009,3/1/2015,本科,计算机科学与技术,上海工程技术大学,40000,49999,,14,63
37,16,男,上海-宝山区,技术总监  ,  小站教育  ,11/1/2016,,技术总监/经理,互联网/电子商务,研发经理  ,  上海大乐网络科技有限公司   ,7/1/2012,6/1/2016,研发经理  ,  美会软件科技（上海）有限公司   ,5/1/2010,7/1/2012,本科,水利水电工程,天津城建学院,40000,49999,,47,26
35,14,男,上海-浦东新区,技术总监/经理  ,  上海惠普有限公司  ,9/1/2011,,技术总监/经理,计算机软件,高级软件工程师  ,  上海海勃物流软件有限公司   ,9/1/2008,9/1/2011,软件工程师  ,  上海东大自动化工程有限公司   ,9/1/2003,9/1/2008,本科,计算机科学与技术,大连海事大学,30000,39999,,36,60
35,11,男,上海,高级经理  ,  哈曼中国投资有限公司  ,6/1/2016,,技术总监/经理,计算机软件,技术总监/经理  ,  DTS   ,5/1/2014,5/1/2016,多媒体部门高级经理  ,  哈曼国际企业管理有限公司   ,7/1/2012,5/1/2014,硕士,电子信息科学类,中国科学院,50000,69999,,24,22
32,7,男,上海-宝山区,Senior Automation QA  ,  GreenDot  ,5/1/2014,,其他,计算机软件,Senior QA  ,  Compuware   ,11/1/2012,5/1/2014,SDET  ,  微创软件有限公司   ,4/1/2011,10/1/2012,硕士,微电子学,上海交通大学,30000,39999,,18,18
33,10,男,上海-长宁区,高级软件工程师 QA/TPM  ,  韩领网络科技（上海）有限公司  ,3/1/2016,,软件测试,互联网/电子商务,软件测试工程师  ,  惠普   ,9/1/2012,3/1/2016,软件测试  ,  上海微创软件股份有限公司   ,2/1/2011,9/1/2012,硕士,计算机科学,"Griffith College Dublin,Ireland",25000,29999,,42,19
39,14,男,上海,技术总监/经理  ,  上海晨讯科技有限公司  ,9/1/2007,,技术总监/经理,通信/电信/网络设备,高级软件工程师  ,  英华达上海电子有限公司   ,10/1/2004,9/1/2007,光学工程师  ,  上海智基光学电子有限公司   ,4/1/2003,10/1/2004,硕士,物理学类,浙江大学,25000,29999,,35,18
32,11,男,上海-闵行区,技术顾问  ,  HPE  ,4/1/2016,,其他,计算机软件,项目经理  ,  Infosys   ,6/1/2015,4/1/2016,Team Leader  ,  IBM   ,6/1/2014,6/1/2015,大专,计算机应用,上海电子信息学院,30000,39999,,10,12
37,12,男,上海-闵行区,开发部经理  ,  上海普晓信息科技有限公司  ,5/1/2008,,计算机软件,计算机软件,项目经理  ,  上海文思创新软件技术有限公司   ,5/1/2007,5/1/2008,高级软件工程师  ,  上海申软计算机技术有限公司   ,5/1/2005,5/1/2007,本科,计算机应用,上海交通大学,25000,29999,,12,24
38,18,男,上海,高级系统架构设计师  ,  上海谐桐信息技术有限公司  ,4/1/2016,,系统架构设计师,计算机软件,系统架构设计师  ,  阿斯利康   ,9/1/2013,4/1/2016,系统架构师  ,  国际商业机器中国有限公司（IBM）   ,6/1/2013,9/1/2014,硕士,计算机科学与技术,复旦大学,,,,31,15
33,10,男,上海-宝山区,讲师/助教  ,  华东师范大学  ,7/1/2011,,讲师/助教,学术/科研,软件工程师  ,  北京超图软件股份有限公司   ,6/1/2007,9/1/2010,,,,,博士,计算机应用,中国科学院,6000,7999,,39,
35,17,男,上海-虹口区,游戏策划师  ,  缤动信息技术上海有限公司  ,8/1/2015,,游戏策划师,网络游戏,QA Manager  ,  缤动信息技术上海有限公司   ,11/1/2010,8/1/2015,QA Leader  ,  上海盛秦软件（Activition Shanghai）   ,9/1/2009,6/1/2010,本科,计算机科学与技术,上海华文外国语学院,15000,19999,,57,9
38,16,男,上海-松江区,Associate Director  ,"  Tech-Front (Shanghai) Computer Co., Ltd.  ",6/1/2002,,系统工程师,计算机软件,部经理  ,  达丰（上海）电脑有限公司   ,6/1/2002,,,,,,MBA,工商管理,同济大学,40000,49999,,,
42,18,男,上海-闸北区,（海外）自由职业  ,  自由职业  ,4/1/2012,1/1/2017,其他,贸易/进出口,项目总监  ,  中华网服务集团   ,4/1/2010,4/1/2012,总监  ,  神州数码通用软件公司（上海）   ,7/1/2005,3/1/2010,硕士,电气工程及其自动化,上海交通大学,25000,29999,57,24,56
34,14,男,上海,SAP Manager  ,  安永（中国）企业咨询有限公司  ,5/1/2014,,咨询经理,专业服务(咨询、人力资源、财会),（海外）资深MDM顾问  ,  梅特勒-托利多中国有限公司   ,6/1/2012,5/1/2014,Lead MDM顾问  ,  埃森哲中国   ,8/1/2008,5/1/2012,本科,应用化学,武汉大学,30000,39999,,23,45
41,17,男,上海,Information System Business Domain Manager  ,  阿尔卡特朗讯集团上海贝尔  ,6/1/2012,,信息技术经理/主管,通信/电信/网络设备,信息技术经理  ,  埃森哲(Accenture)   ,11/1/2006,6/1/2012,Software Engineering Advisor  ,  Dell   ,3/1/2003,11/1/2006,硕士,计算机科学与技术,复旦大学,40000,49999,,67,44
38,14,男,上海-浦东新区,副总经理、高级软件设计师、架构师  ,  华腾  ,9/1/2010,,信息技术经理/主管,计算机软件,高级软件工程师  ,  泰雷兹软件系统(上海)有限公司   ,5/1/2006,9/1/2010,高级软件工程师  ,  新蛋（中国）上海有限公司   ,10/1/2005,5/1/2006,本科,计算机信息管理,上海财经大学,25000,29999,,52,7
35,11,男,上海-闵行区,IT项目经理  ,  标致雪铁龙中国  ,11/1/2010,,项目经理,汽车及零配件,（海外）开发工程师  ,  AEROW   ,11/1/2006,9/1/2010,,,,,硕士,计算机网络,法国雷恩第一大学,30000,39999,,46,
33,12,男,上海-宝山区,（海外）Manager  ,  花旗软件中国有限公司  ,9/1/2010,9/1/2015,项目经理,银行,软件工程师  ,  上海惠普GDDC   ,6/1/2008,9/1/2010,高级软件工程师  ,  上海海隆软件开发股份有限公司   ,6/1/2005,6/1/2008,本科,计算机科学与技术,华东理工大学,30000,39999,60,27,36
36,15,男,上海-普陀区,架构师  ,  AkzoNobel  ,10/1/2010,,技术总监/经理,石油/化工/矿产/地质,高级软件工程师  ,  Randstad China   ,10/1/2008,,高级软件工程师  ,  上海英宝时装有限公司   ,3/1/2006,9/1/2008,MBA,工商管理,上海财经大学,40000,49999,,,30
34,10,女,上海-普陀区,项目经理  ,  上海文思海辉软件技术有限公司  ,4/1/2016,,项目经理,计算机软件,团队经理  ,  上海文思海辉软件技术有限公司   ,12/1/2013,3/1/2016,程序经理  ,  上海文思海辉软件技术有限公司   ,12/1/2009,10/1/2013,硕士,计算机科学与技术类,汉恩大学,15000,19999,,27,46
33,11,男,上海-浦东新区,sap fico顾问  ,  博世贸易（上海）有限公司  ,2/1/2015,,ERP实施顾问,贸易/进出口,sap fico 顾问  ,  印孚瑟斯(上海)有限公司   ,2/1/2013,1/1/2015,专业顾问  ,  高知特信息技术(上海)有限公司   ,1/1/2010,2/1/2013,本科,电子商务,中国石油大学(华东),,,,23,37
44,22,男,上海,高级项目经理  ,  Phicomm  ,2/1/2012,,技术总监/经理,计算机软件,（海外）技术总监/经理  ,  BlueCross BlueShield   ,9/1/2004,2/1/2012,项目经理  ,  五三银行   ,8/1/1997,9/1/2004,硕士,计算机科学与技术,美国辛辛那提大学 University of Cincinnati,,,,89,85
38,17,男,上海-徐汇区,首席技术执行官CTO/首席信息官CIO  ,  创图科技  ,8/1/2016,,首席技术执行官CTO/首席信息官CIO,互联网/电子商务,（海外）项目总监  ,  华为   ,11/1/2012,8/1/2016,（海外）项目经理  ,  cognizant   ,3/1/2008,9/1/2012,MBA,工商管理,上海交通大学,70000,99999,,45,54
33,10,男,上海-嘉定区,系统架构设计师  ,  中国电子科技集团第三十二研究所  ,7/1/2016,,系统架构设计师,计算机服务(系统、数据服务、维修),高级项目经理  ,  Edenred   ,1/1/2016,7/1/2016,软件开发经理  ,  上海贝塔斯曼欧唯特信息服务有限公司   ,5/1/2015,12/1/2015,本科,计算机科学与技术,郑州大学,20000,24999,,6,7
